"CourseTitle","Category","Sub Category","CourseWebsite","Duration","DurationTerm","StudyMode","DegreeLevel","IntakeDay","IntakeMonth","ApplyDay","ApplyMonth","City","DomesticOnly","InternationalFee","DomesticFee","FeeTerm","FeeYear","Currency","StudyLoad","Language","IELTS_Listening","IELTS_Speaking","IELTS_Writing","IELTS_Reading","IELTS_Overall","PTE_Listening","PTE_Speaking","PTE_Writing","PTE_Reading","PTE_Overall","TOEFL_Listening","TOEFL_Speaking","TOEFL_Writing","TOEFL_Reading","TOEFL_Overall","English Test","English Test Reading","English Test Listening","English Test Speaking","English Test Writing","English Test Overall","AcademicLevel","AcademicScore","ScoreType","AcademicCountry","OtherTest","Score","OtherRequirement","CourseDescription","CourseStructure","Career"
"Physical Activity and Health",,,"https://www.abertay.ac.uk/course-search/undergraduate/physical-activity-and-health/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP","Full Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p>Please visit our <a href=""/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>

<p>Republic of Ireland applicants, click on the UK tabs and scroll down to find your Entry Requirements.</p>

<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why study BSc (Hons) Physical Activity and Health?</h2>
                    <p class=""preamble""><strong>Benefit from first-rate academic support and turn your passion for sports and science into a degree that equips you with the knowledge and skills required to understand the impact of physical activity and health at an individual and community level.</strong></p>
<p>Physical Activity and Health is one of the specialist routes within the sports portfolio at Abertay – this means you’ll make your choice of specialism at the end of stage two of the <a href=""https://www.abertay.ac.uk/studying/undergraduate/bsc-sport-and-exercise/"">BSc (Hons) Sport and Exercise</a> programme.   </p>
<p>This degree draws on the core disciplines of physiology, psychology, sociology and public health theory, allowing you to facilitate health promotion interventions – a crucial part of improving the wellbeing of the population.</p>
<p>You’ll go on to study more specific physical activity and health modules, covering areas such as public health policy and health promotion, as well as exercise prescriptions for general and specialist populations.</p>
<p>You’ll have access to our Human Performance Laboratory, with running, rowing, fitness testing and weights machines. You’ll also have opportunities to meet with a range of charitable health and social care organisations who regularly draw on the expertise of our lecturing staff within this facility.</p>
<p><span>Abertay </span><span>is widely regarded as THE place to come for high quality teaching. But don't take our word for it:</span></p>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction.</strong></li>
</ul>
                </div>",,
"Sport and Management",,,"https://www.abertay.ac.uk/course-search/undergraduate/sport-and-management/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP","Full Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note:</strong> All applicants must have passes in English and Maths - National 5 grade C or GCSE grade C/4 or equivalent.  National 5 ESOL is accepted in lieu of National 5 English. National 5 Lifeskill Maths accepted in lieu of Maths.</p>

<p><u>Below are the literate subjects we accept for entry on this course</u>:</p>

<p>One of the following: <strong>Business Management; Classical Studies; Economics; English; ESOL; Geography; History; Media Studies; Modern Studies; Philosophy; Politics; Psychology; Religious, Moral and Philosophical Studies; Sociology</strong></p>

<p>If there is a subject that does not appear, please contact our Admissions Office (<a href=""mailto:admissions@abertay.ac.uk"">admissions@abertay.ac.uk</a>) who will be able to confirm whether or not it would be considered for entry.</p>

<p>Please visit our <a href=""/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>

<p>Republic of Ireland applicants, click on the UK tabs and scroll down to find your Entry Requirements.</p>

<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why study Abertay's BA (Hons) in Sport and Management?</h2>
                    <p class=""preamble""><strong>Keen to uncover what makes sport tick? Interested in the principles of management? Ready to explore the relationship between the two? This degree gives you the best of both worlds, making you a highly desirable candidate for high-level sports clubs seeking business-savvy graduates.</strong></p>
<p>This degree prepares you for a management career in sports, equipping you with the skills required to manage sporting facilities, including financial, human resource, sporting expertise, marketing and service operations.</p>
<p>It’s designed to give you an understanding of the management, social and practical skills required in the burgeoning sports industry, with a focus on social policy, ethics and the philosophy of sport, as well as the context of business and management of services, people, and the sporting environment.</p>
<p>Work placements are a key feature of this programme, and employability is embedded throughout the programme. Some of our students have previously undertaken work placements within national governing bodies and with Dundee Stars, the city’s Elite Ice Hockey League team.</p>
<p>Practical activities and work placements will enable you to contextualise theory to real-life applications, and work towards NGB or industry qualifications.</p>
<p><span>Abertay </span><span>is widely regarded as THE place to come for high quality teaching. But don't take our word for it:</span></p>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction.</strong></li>
</ul>
                </div>",,
"Mental Health Nursing",,,"https://www.abertay.ac.uk/course-search/undergraduate/mental-health-nursing/",3,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP","Full Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note:</strong> All applicants must attend for interview and, if successful, must undergo health screening and criminal records checks. Enrolled students are required to make an annual declaration of good health and good character. The University must affirm this declaration before registration with the Nursing and Midwifery Council (NMC) is possible.</p>

<p><strong>English and Maths</strong></p>

<p>All applicants must have passes in English in one of the following: National 5 C and GCSE grade C/4 or equivalent.  National 5 ESOL is accepted in lieu of National 5 English.</p>

<p>Where English is not the first language, applicants require IELTS at 7.0 (with no band less than 7.0) or equivalent.</p>

<p>All applicants must have passes in Maths/Lifeskills Maths in one of the following: National 5 C and GCSE grade C/4 or equivalent.</p>

<p>Please visit our <a href=""/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>

<p>Republic of Ireland applicants, click on the UK tabs and scroll down to find your Entry Requirements.</p>

<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why study Abertay's BSc (Hons) in Mental Health Nursing?</h2>
                    <h4>Join Scotland’s only undergraduate honours-level nursing programme with a sole focus on mental health. This degree is grounded in a commitment to recovery as a guiding principle, with a strong focus on the delivery of research-informed, person-centred care.</h4>
<p>This course scored <strong>an impressive 90% for Overall Student Satisfaction in the 2020 National Student Survey</strong>. </p>
<p>This three-year Mental Health Nursing degree will provide you with a thought-provoking and contemporary study programme, carefully crafted to equip you with the knowledge, skills and experience you need to practice as a mental health nurse.</p>
<p>You can graduate with an honours degree after only three years as you explore a fascinating range of topics, including physical health and wellbeing, anatomy, physiology and human biology, as you take a journey to become a reflective, self-aware and person-centred practitioner.</p>
<p>Throughout your degree, you’ll enjoy a consistently high level of support from a team of tutors and lecturers from a variety of clinical backgrounds, some of whom continue to work in practice. This is complemented by practitioners and colleagues from counselling and nursing.</p>
<p>This degree is accredited by the Nursing and Midwifery Council (NMC) and leads to registration as a Mental Health Nurse. </p>
<p><span>Abertay </span><span>is widely regarded as THE place to come for high quality teaching. But don't take our word for it:</span></p>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction.</strong></li>
</ul>
                </div>",,
"Social Science",,,"https://www.abertay.ac.uk/course-search/undergraduate/social-science/","2-3","years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Why study Abertay's BA (Hons) in Social Science?</h2>
                    <p class=""preamble""><strong>Dive deep into the social sciences to understand and analyse the key issues affecting society. Explore business management, criminology, psychology, sociology and sport, and learn how to apply the latest theories to a wide range of real world situations. </strong></p>
<p><strong data-redactor-tag=""strong"">Please note:</strong><span> </span>Entry to this course is available to years 2, 3 or 4 only.</p>
<p>Abertay’s fascinating Social Science degree provides you with the opportunity to study human behaviour and actions, offering you a broader scope than many conventional social science programmes.</p>
<p>This cross-disciplinary degree aims to develop your ability to think in different ways and acquire valuable intellectual skills, preparing you for working in an ever-changing, knowledge-based economy.</p>
<p>The Social Science BA (Hons) curriculum is built around a core module set, with a wide variety of options and modules available for you to build a programme that reflects your interests and preferences.</p>
<p>You can also organise your degree studies around a subject pathway preference from any of those on offer. This way, you can specialise in a particular subject stream, and will have this as a named component of your final degree award.</p>
<p><span>Abertay </span><span>is widely regarded as THE place to come for high quality teaching. But don't take our word for it:</span></p>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction.</strong></li>
</ul>
                </div>",,
"Sport and Exercise",,,"https://www.abertay.ac.uk/course-search/undergraduate/sport-and-exercise-leading-to-named-routes/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP","Full Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note: </strong>All applicants must have a pass Maths - National 5 grade C or GCSE grade C/4.  National 5 Lifeskill Maths <strong>not accepted</strong> in lieu of Maths.</p>

<p>Please visit our <a href=""/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>

<p>Republic of Ireland applicants, click on the UK tabs and scroll down to find your Entry Requirements.</p>

<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why study Abertay's BSc (Hons) Sport and Exercise?</h2>
                    <p class=""preamble""><strong>Dive in to a rich pool of diverse sport and exercise topics – from scientific support, coaching and service provision to duty of care and community development, this programme has been designed to reflect an ever-evolving employment market.  </strong></p>
<p>Gain a deeper understanding of the sciences that underpin sport, and discover how the body responds to sport by exploring topics including physiology, psychology and biomechanics, as well as social policy and sport development. </p>
<p>You can choose from a range of study programmes that address the physiology and psychology of performance, the science of training practices, the development and social impact of sport and exercise (for example, on health and wellbeing), and the evaluation and analysis of sports performance.</p>
<p>You’ll be given access to our Human Performance Laboratory, Strength and Conditioning Suite and Motion Tracking Laboratory. This means you will be able to use equipment such as the environmental chamber, gas analysis, force platform and 2-D cameras.</p>
<p>This degree provides you with topical information, an ability to translate theory to practice, and the opportunity to gain relevant employment experience within the industry, while still providing you with the flexibility to follow your own interests. </p>
<p>This course regularly scores <strong>over 90% for Overall Student Satisfaction </strong>in the National Student Survey, and <strong>rated an impressive 96% in 2020</strong>. </p>
<p><span>Abertay </span><span>is widely regarded as THE place to come for high quality teaching. But don't take our word for it:</span></p>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction.</strong></li>
</ul>
                </div>",,
"Game Design and Production",,,"https://www.abertay.ac.uk/course-search/undergraduate/game-design-and-production/",4,"years",,"Undergraduate",,"September",,,,,"15,500",,"Annual",2021,"GBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p>Please visit our <a href=""/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>

<p>Republic of Ireland applicants, click on the UK tabs and scroll down to find your Entry Requirements.</p>

<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why study Abertay's BA (Hons) in Game Design and Production?</h2>
                    <p class=""preamble""><strong>Learn to harness your creativity and get set to push the boundaries of games making by studying in the UK’s first UNESCO City of Design. Get your degree from one of the most prestigious game design schools in the world. </strong></p>
<p>Developed for creative and technically minded people with a desire to become a key part of the games industry, this degree is designed to make you work-ready, teaching you game concept and asset creation, game prototyping, and production and leadership skills.</p>
<p>As a student on this programme, you will:  </p>
<ul>
<li>Work alongside artists, programmers and audio specialists in small development teams to design and develop computer games</li>
<li>Study the historical context and fundamentals of game design, interaction and narrative theory</li>
<li>Develop professional skills in level design, concept development, project management and entrepreneurship</li>
<li>Learn how interactive entertainment products are designed, developed and marketed</li>
</ul>
<p>You’ll be encouraged to work creatively and professionally as a game designer, communicating concepts through prototypes, game assets, documentation and presentations, in addition to honing your communication and management skills through multidisciplinary projects.</p>
<p>This course gained <strong>an impressive 96% Overall Student Satisfaction rating</strong> in the 2020 National Student Survey and Abertay University ranked in the <a href=""/news/2020/abertay-university-ranked-top-three-in-scotland-for-student-satisfaction/"">top three Scottish Universities for Student Satisfaction</a>.  </p>
<p>Abertay is widely regarded as THE place to study for a games degree. But don't just take it from us:</p>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction</strong></li>
<li>Princeton Review 2020 <strong>best in Europe</strong> for <strong>Video Games Education</strong> for the 5th year in a row.</li>
</ul>
<p style=""margin-bottom: 15.0pt; line-height: 21.0pt;""> </p>
                </div>",,
"Ethical Hacking",,,"https://www.abertay.ac.uk/course-search/undergraduate/ethical-hacking/",4,"years",,"Undergraduate",,"September",,,,,"15,500",,"Annual",2021,"GBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""e-text"">
                    <h2>Why study an Ethical Hacking Degree?</h2>
                    <p class=""preamble"">Demand for qualified ethical hackers and cyber security specialists is rising year on year. Study our Ethical Hacking degree and discover the fascinating field of cybersecurity.</p>
<p class=""preamble"">How do hackers get into corporate security systems? How do they ‘steal’ computer data? Can you build the right defenses and stop hackers in their tracks?  Find out how on our Ethical Hacking degree course.</p>
<p class=""preamble"">We are right at the forefront of cybersecurity, producing highly skilled, in-demand graduates. You’ll develop a practical and offensive approach, by deliberately breaking computer systems and building cybersecurity defences.</p>
<ul>
<li>Understand the processes behind hacking and cyber attacks.</li>
<li>Work out how illegal hacks can be stopped.</li>
<li>Create real-life countermeasures and fixes.</li>
<li>Shut down security hacks quickly and professionally.</li>
<li>Document it and do it again!</li>
</ul>
<p class=""preamble"">The course combines computer networking, digital forensics and expert development as well as programming. You will learn how to protect data and information systems. Our Ethical Hacking degree gives you a deep understanding of cybercrime so you have the skills to stop hackers - fast.</p>
<h3>Ethical Hacking BSc (Hons) - the benefits are clear:</h3>
<ul>
<li>
<p>One of the leading cybersecurity courses in the UK.</p>
</li>
<li>
<p>The first Ethical Hacking degree in the world.</p>
</li>
<li>
<p>Accredited by the BCS, <a href=""https://www.bcs.org/"">The Chartered Institute for IT</a>.</p>
</li>
<li>
<p>Great industry links and recruitment opportunities.</p>
</li>
<li>
<p>High employment rate on graduation.</p>
</li>
<li>
<p>Excellent starting salaries.</p>
</li>
</ul>
<p class=""preamble"">This course scored <strong><span>an impressive 94% Overall Student Satisfaction rating</span></strong> in the 2020 National Student Survey.</p>
<p class=""preamble""><span>Abertay </span><span>is widely regarded as THE place to come for high quality teaching. But don't take our word for it:</span></p>
<ul>
<li>
<p class=""preamble"">Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></p>
</li>
<li>
<p class=""preamble"">Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></p>
</li>
<li>
<p class=""preamble"">National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction.</strong></p>
</li>
</ul>
                </div>",,
"Sociology",,,"https://www.abertay.ac.uk/course-search/undergraduate/sociology/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP","Full Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note:</strong> All students must have passes in English and Maths – English National 5 at grade C or equivalent and Maths or Lifeskill Maths National 4 at P or equivalent or National 5 numerate subjects such as Chemistry, Biology or Physics at grade C accepted in lieu of Maths.</p>

<p><u>Below are the literate subjects we accept for entry on this course</u>:</p>

<p>One of the following: <strong>Business Management; Classical Studies; Economics; English; ESOL; Geography; History; Media Studies; Modern Studies; Philosophy; Politics; Psychology; Religious, Moral and Philosophical Studies; Sociology</strong></p>

<p>If there is a subject that does not appear, please contact our Admissions Office (<a href=""mailto:admissions@abertay.ac.uk"">admissions@abertay.ac.uk</a>) who will be able to confirm whether or not it would be considered for entry.</p>

<p>Please visit our <a href=""/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>

<p>Republic of Ireland applicants, click on the UK tabs and scroll down to find your Entry Requirements.</p>

<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why study Abertay's BA (Hons) in Sociology?</h2>
                    <p class=""preamble""><strong>Sociology involves thinking critically about the world around you to develop an understanding of how people engage and interact in groups, institutions and societies. This thought-provoking degree covers everything from death and religious belief to social media use and digital surveillance.</strong></p>
<p>This Sociology degree is designed to give you an understanding of how individuals shape and are shaped by the social contexts they inhabit. It’s a challenging but rewarding programme designed to equip you with the aptitudes and capabilities that public and private sector employers demand, including:</p>
<ul>
<li>How to analyse complex issues</li>
<li>How to engage in critical thinking</li>
<li>How to communicate to a variety of audiences</li>
<li>How to develop innovative solutions to real-world challenges</li>
</ul>
<p>Are you analytical, curious and ready to question your own assumptions about the world? Are you keen to hone your communication skills, learn how to articulate an argument and shape your own career direction?<span> Then Sociology is the course for you.</span></p>
<p>This course scored an incredible 90% for <strong>Overall Student Satisfation in the 2020 National Student Survey</strong>. And Abertay ranked in the <a href=""/news/2020/abertay-university-ranked-top-three-in-scotland-for-student-satisfaction/"">top three Scottish Universities for Student Satisfaction</a>.</p>
<p>Welcome to <span>Sociology at Abertay.</span></p>
                </div>",,
"Food, Nutrition and Health",,,"https://www.abertay.ac.uk/course-search/undergraduate/food-nutrition-and-health/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP","Full Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note: </strong>All applicants must have a pass Maths - National 5 grade C or GCSE grade C/4.  National 5 Lifeskill Maths <strong>not accepted</strong> in lieu of Maths.</p>

<p>Please visit our <a href=""/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>

<p>Republic of Ireland applicants, click on the UK tabs and scroll down to find your Entry Requirements.</p>

<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why study Abertay's BSc (Hons) in Food, Nutrition and Health?</h2>
                    <p><strong>Embark on a fascinating journey to learn how food impacts wellbeing and health, and explore the link between nutrition and public health. Understand consumer food behaviour and develop strategies to improve food habits.</strong></p>
<p>Our programme is accredited by the Association for Nutritionists (AfN), the independent regulator for Registered Nutritionists. This course scored an incredible<strong> 100% for Overall Student Satisfaction</strong> in the 2020 National Student Survey (NSS). And <span>in </span><a rel=""noopener noreferrer"" href=""https://www.theguardian.com/education/ng-interactive/2020/sep/05/the-best-uk-universities-2021-league-table"" target=""_blank"" title=""Guardian best UK universities 2021 – league table"">the Guardian Good University Guide for 2021</a><span>, our food courses ranked 3</span><sup>rd</sup><span> in the UK and top in Scotland. So you've come to the right place.</span></p>
<p>This degree is vocationally relevant and combines academic theory with practical skills in our newly refurbished laboratories. You’ll be trained by forward-looking experts, with hands-on experience a crucial learning method to help you uncover:</p>
<ul>
<li>The nutritional function of foods and nutritional requirements of a person throughout their lifespan</li>
<li>How to design healthy, balanced foods that are safe to eat</li>
<li>How food nutrients work in the body and how they impact our health</li>
<li>The link between nutrition and public health</li>
<li>What drives consumer eating habits and behaviours</li>
</ul>
<p>This programme helps you develop an in-depth understanding of the relationship between food, diet and nutrition and their impact on the wellbeing of the individual. It will enable you appreciate the link between nutrition and public health and you will learn how to develop nutritional strategies to improve the health of the individual or the community.</p>
<p><span>Abertay </span><span>is widely regarded as THE place to come for high quality teaching. But don't take our word for it:</span></p>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction.</strong></li>
</ul>
                </div>",,
"Marketing and Business Management",,,"https://www.abertay.ac.uk/course-search/undergraduate/marketing-and-business-management/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP","Both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note:</strong> All applicants must have passes in English and Maths - National 5 grade C or GCSE grade C/4 or equivalent.  National 5 ESOL is accepted in lieu of National 5 English. National 5 Lifeskill Maths accepted in lieu of Maths.</p>

<p><u>Below are the literate subjects we accept for entry on this course</u>:</p>

<p>One of the following: <strong>Business Management; Classical Studies; Economics; English; ESOL; Geography; History; Media Studies; Modern Studies; Philosophy; Politics; Psychology; Religious, Moral and Philosophical Studies; Sociology</strong></p>

<p>If there is a subject that does not appear, please contact our Admissions Office (<a href=""mailto:admissions@abertay.ac.uk"">admissions@abertay.ac.uk</a>) who will be able to confirm whether or not it would be considered for entry.</p>

<p>Please visit our <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>
<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why Study Abertay's BA (Hons) in Marketing and Business Management?</h2>
                    <p class=""preamble""><strong>Develop highly-relevant marketing knowledge and skills for the digital era, including social media marketing, brand management, market research and creative design using problem-based learning. </strong></p>
<p>Choose a degree designed to develop your marketing knowledge and skills for the digital era. It’s a great way to start building your career as a professional marketer and manager.</p>
<p>We will teach you how to understand different markets, manage customer relationships and communicate your brand strategy effectively. And you’ll learn about business decision making, functions and challenges, making you a highly effective manager.</p>
<p>Using our outstanding industry links, you will learn how businesses really operate through expert guest speakers, projects tackling real life business problems, work placements, sales pitches and offsite visits. You’ll work on projects for organisations such as:</p>
<ul>
<li>Royal Bank of Scotland (RBS)</li>
<li>British Telecom (BT)</li>
<li>Heineken</li>
<li>Michelin</li>
</ul>
<p>Focussed squarely on employability, this degree gives you a thorough grounding in marketing and business for today’s ever changing world.  Our marketing students graduate with a passion for innovation, teamwork, creative thinking and the ability to solve real-world business challenges. We prepare you for a great career, and a great future.</p>
<h3>Why study this course here:</h3>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction.</strong></li>
</ul>
                </div>",,
"Forensic Sciences",,,"https://www.abertay.ac.uk/course-search/undergraduate/forensic-sciences/",4,"years",,"Undergraduate",,"September",,,,,"14,000",,"Annual",2021,"GBP","Full Time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div role=""tabpanel"" class=""tab-pane active"" id=""SubjectRequirements"">

<p><strong>Please note: </strong>All applicants must have a pass Maths - National 5 grade C or GCSE grade C/4.  National 5 Lifeskill Maths <strong>not accepted</strong> in lieu of Maths.</p>

<p>Please visit our <a href=""/study-apply/how-to-apply/entry-from-college/"">Entry from College</a> pages for suitable College courses.</p>

<p>Republic of Ireland applicants, click on the UK tabs and scroll down to find your Entry Requirements.</p>

<p>See information about studying and applying to Abertay for <a href=""https://www.abertay.ac.uk/study-apply/how-to-apply/international-students/"">International students.</a></p>                </div>","<div class=""e-text"">
                    <h2>Why study Abertay's BSc (Hons) in Forensic Sciences?</h2>
                    <p class=""preamble""><strong>Go beyond the police tape with this fascinating and highly-practical Forensic Sciences degree. Learn the techniques that underpin the recognition, identification, recovery, analysis and evaluation of information which can be used as evidence in a court of law.</strong></p>
<p>Are you literate, numerate and analytical? Do you like to solve problems for fun? Are you naturally inquisitive with a passion for chemistry and biology? Put these traits to work during a Forensic Sciences degree that equips you with the knowledge required to help support the legal process.</p>
<p>It’s a hands-on degree, which allows you to analyse a variety of scenes in our purpose-built facilities, and learn the following physical and chemical analysis techniques in our state-of-the-art laboratories:</p>
<ul>
<li>Crime scene investigation</li>
<li>Body fluid analysis</li>
<li>DNA profiling</li>
<li>Forensic chromatography and spectroscopy</li>
<li>Fingerprinting</li>
<li>Substances of abuse</li>
</ul>
<p>This highly vocational programme is broken down into three main study areas – forensic science, chemistry and biology – and dovetails modules from the Division of Law to prepare you for a variety of workplace situations.</p>
<p>This course scored <strong>an amazing 90% for Overall Student Satisfaction in the 2020 National Student Survey (NSS)</strong>. <span>Abertay </span><span>is widely regarded as THE place to come for high quality teaching. But don't take our word for it:</span></p>
<ul>
<li>Sunday Times <strong>UK University of the Year 2020</strong> for <strong>Teaching Quality.</strong></li>
<li>Guardian University Guide 2020 <strong>Top 10 in the UK</strong> for <strong>Student Satisfaction</strong> with <strong>Teaching</strong>, <strong>Course</strong> and <strong>Feedback.</strong></li>
<li>National Student Survey 2020 <strong>Top 10 UK Universities</strong> for <strong>Student Satisfaction.</strong></li>
</ul>
                </div>",,
